team,number,player,position,height,weight,dob,yoe,college,country
Orlando Magic,13.0,R.J. Hampton,PG,6-4,175,"February 7, 2001",2,,United States
Orlando Magic,3.0,Chuma Okeke,PF,6-6,229,"August 18, 1998",2,Auburn,United States
Orlando Magic,11.0,Mo Bamba,C,7-0,231,"May 12, 1998",4,Texas,United States
Orlando Magic,,Gary Harris,SG,6-4,210,"September 14, 1994",8,Michigan State,United States
Orlando Magic,,Kevon Harris (TW),SG,6-6,216,"June 24, 1997",R,Stephen F. Austin,United States
Orlando Magic,,Jonathan Isaac,PF,6-11,230,"October 3, 1997",3,Florida State,United States
Orlando Magic,,Markelle Fultz,SG,6-3,209,"May 29, 1998",5,Washington,United States
Orlando Magic,,Cole Anthony,PG,6-2,185,"May 15, 2000",2,UNC,United States
Miami Heat,22.0,Jimmy Butler,SF,6-7,230,"September 14, 1989",11,Marquette,United States
Miami Heat,14.0,Tyler Herro,SG,6-5,195,"January 20, 2000",3,Kentucky,United States
Miami Heat,31.0,Max Strus,SF,6-5,215,"March 28, 1996",3,"Lewis (IL), DePaul",United States
Miami Heat,13.0,Bam Adebayo,C,6-9,255,"July 18, 1997",5,Kentucky,United States
Miami Heat,21.0,Dewayne Dedmon,C,7-0,245,"August 12, 1989",9,USC,United States
Miami Heat,16.0,Caleb Martin,SF,6-5,205,"September 28, 1995",3,"NC State, Nevada",United States
Miami Heat,55.0,Duncan Robinson,SF,6-7,215,"April 22, 1994",4,"Williams, Michigan",United States
Miami Heat,2.0,Gabe Vincent,PG,6-3,200,"June 14, 1996",3,UC Santa Barbara,United States
Miami Heat,7.0,Kyle Lowry,PG,6-0,196,"March 25, 1986",16,Villanova,United States
Miami Heat,24.0,Haywood Highsmith,SF,6-7,220,"December 9, 1996",2,Wheeling University,United States
Miami Heat,,Victor Oladipo,SG,6-4,213,"May 4, 1992",9,Indiana,United States
Miami Heat,,Udonis Haslem,PF,6-8,235,"June 9, 1980",19,Florida,United States
Miami Heat,,Jamal Cain (TW),SF,6-7,191,"March 20, 1999",R,"Marquette, Oakland",United States
Miami Heat,,Dru Smith (TW),SG,6-3,203,"December 30, 1997",R,"University of Evansville, Missouri",United States
Charlotte Hornets,3.0,Terry Rozier,PG,6-1,190,"March 17, 1994",7,Louisville,United States
Charlotte Hornets,20.0,Gordon Hayward,SF,6-7,225,"March 23, 1990",12,Butler,United States
Charlotte Hornets,25.0,P.J. Washington,PF,6-7,230,"August 23, 1998",3,Kentucky,United States
Charlotte Hornets,12.0,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",7,Kansas,United States
Charlotte Hornets,24.0,Mason Plumlee,C,6-11,254,"March 5, 1990",9,Duke,United States
Charlotte Hornets,8.0,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",5,NC State,United States
Charlotte Hornets,6.0,Jalen McDaniels,SF,6-9,205,"January 31, 1998",3,San Diego State,United States
Charlotte Hornets,5.0,Mark Williams,C,7-1,241,"December 16, 2001",R,Duke,United States
Charlotte Hornets,2.0,James Bouknight,SG,6-5,190,"September 18, 2000",1,UConn,United States
Charlotte Hornets,21.0,JT Thor,PF,6-10,205,"August 26, 2002",1,Auburn,United States
Charlotte Hornets,7.0,Bryce McGowens (TW),SG,6-7,179,"November 8, 2002",R,Nebraska,United States
Charlotte Hornets,11.0,Cody Martin,SF,6-5,205,"September 28, 1995",3,"NC State, Nevada",United States
Charlotte Hornets,,LaMelo Ball,PG,6-7,180,"August 22, 2001",2,,United States
Memphis Grizzlies,12.0,Ja Morant,PG,6-3,174,"August 10, 1999",3,Murray State,United States
Memphis Grizzlies,22.0,Desmond Bane,SG,6-5,215,"June 25, 1998",2,TCU,United States
Memphis Grizzlies,21.0,Tyus Jones,PG,6-0,196,"May 10, 1996",7,Duke,United States
Memphis Grizzlies,46.0,John Konchar,SG,6-5,210,"March 22, 1996",3,Purdue-Fort Wayne,United States
Memphis Grizzlies,3.0,Jake LaRavia,PF,6-8,235,"November 3, 2001",R,"Indiana State University, Wake Forest",United States
Memphis Grizzlies,2.0,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",2,Michigan State,United States
Memphis Grizzlies,27.0,David Roddy,PF,6-6,255,"March 27, 2001",R,Colorado State,United States
Memphis Grizzlies,,Ziaire Williams,SF,6-8,215,"September 12, 2001",1,Stanford,United States
Memphis Grizzlies,,Danny Green,SG,6-6,215,"June 22, 1987",13,UNC,United States
Memphis Grizzlies,,Jaren Jackson Jr.,C,6-11,242,"September 15, 1999",4,Michigan State,United States
Memphis Grizzlies,,Kenneth Lofton Jr. (TW),PF,6-7,275,"August 14, 2002",R,Louisiana Tech,United States
Memphis Grizzlies,,Vince Williams Jr. (TW),SG,6-6,205,"August 30, 2000",R,VCU,United States
Memphis Grizzlies,,Kennedy Chandler,PG,6-0,171,"September 16, 2002",R,Tennessee,United States
New Orleans Pelicans,14.0,Brandon Ingram,SF,6-8,190,"September 2, 1997",6,Duke,United States
New Orleans Pelicans,1.0,Zion Williamson,PF,6-6,284,"July 6, 2000",2,Duke,United States
New Orleans Pelicans,3.0,CJ McCollum,SG,6-3,190,"September 19, 1991",9,Lehigh,United States
New Orleans Pelicans,25.0,Trey Murphy III,SF,6-9,206,"June 18, 2000",1,"Rice University, Virginia",United States
New Orleans Pelicans,22.0,Larry Nance Jr.,PF,6-7,245,"January 1, 1993",7,Wyoming,United States
New Orleans Pelicans,15.0,Jose Alvarado,PG,6-0,179,"April 12, 1998",1,Georgia Tech,United States
New Orleans Pelicans,5.0,Herbert Jones,SF,6-8,210,"October 6, 1998",1,Alabama,United States
New Orleans Pelicans,8.0,Naji Marshall,SF,6-7,220,"January 24, 1998",2,Xavier,United States
New Orleans Pelicans,4.0,Devonte' Graham,PG,6-1,195,"February 22, 1995",4,Kansas,United States
New Orleans Pelicans,,E.J. Liddell (TW),PF,6-7,240,"December 18, 2000",R,Ohio State,United States
New Orleans Pelicans,,Dereon Seabron (TW),SG,6-7,180,"May 26, 2000",R,,United States
New Orleans Pelicans,,Garrett Temple,SG,6-5,195,"May 8, 1986",12,LSU,United States
New Orleans Pelicans,,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",2,Alabama,United States
New Orleans Pelicans,,Jaxson Hayes,C,6-11,220,"May 23, 2000",3,Texas,United States
Houston Rockets,3.0,Kevin Porter Jr.,SG,6-4,203,"May 4, 2000",3,USC,United States
Houston Rockets,1.0,Jabari Smith Jr.,PF,6-10,220,"May 13, 2003",R,Auburn,United States
Houston Rockets,4.0,Jalen Green,SG,6-4,178,"February 9, 2002",1,,United States
Houston Rockets,10.0,Eric Gordon,SG,6-3,215,"December 25, 1988",14,Indiana,United States
Houston Rockets,17.0,Tari Eason,SF,6-8,216,"May 10, 2001",R,"Cincinnati, LSU",United States
Houston Rockets,9.0,Josh Christopher,SG,6-5,215,"December 8, 2001",1,Arizona State,United States
Houston Rockets,6.0,Kenyon Martin Jr.,SF,6-6,215,"January 6, 2001",2,,United States
Houston Rockets,25.0,Garrison Mathews,SG,6-5,215,"October 24, 1996",3,Lipscomb,United States
Houston Rockets,,Daishen Nix,PG,6-5,224,"February 13, 2002",1,,United States
Houston Rockets,,Trevor Hudgins (TW),PG,6-0,180,"March 23, 1999",R,Northwest Missouri State University,United States
Houston Rockets,,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",R,Kentucky,United States
Houston Rockets,,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",2,Ohio State,United States
Houston Rockets,,Darius Days (TW),PF,6-7,245,"October 20, 1999",R,LSU,United States
San Antonio Spurs,3.0,Keldon Johnson,SF,6-5,220,"October 11, 1999",3,Kentucky,United States
San Antonio Spurs,33.0,Tre Jones,PG,6-1,185,"January 8, 2000",2,Duke,United States
San Antonio Spurs,17.0,Doug McDermott,SF,6-7,225,"January 3, 1992",8,Creighton,United States
San Antonio Spurs,24.0,Devin Vassell,SG,6-5,200,"August 23, 2000",2,Florida State,United States
San Antonio Spurs,18.0,Isaiah Roby,PF,6-8,230,"February 3, 1998",3,Nebraska,United States
San Antonio Spurs,35.0,Romeo Langford,SG,6-4,216,"October 25, 1999",3,Indiana,United States
San Antonio Spurs,10.0,Jeremy Sochan,PF,6-9,230,"May 20, 2003",R,Baylor,United States
San Antonio Spurs,31.0,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",4,Ohio State,United States
San Antonio Spurs,23.0,Zach Collins,PF,6-11,250,"November 19, 1997",4,Gonzaga,United States
San Antonio Spurs,7.0,Josh Richardson,SG,6-5,200,"September 15, 1993",7,Tennessee,United States
San Antonio Spurs,,Malaki Branham,SF,6-5,180,"May 12, 2003",R,Ohio State,United States
San Antonio Spurs,,Dominick Barlow (TW),SF,6-9,221,"May 26, 2003",R,,United States
San Antonio Spurs,,Blake Wesley,SG,6-5,185,"March 16, 2003",R,Notre Dame,United States
San Antonio Spurs,,Jordan Hall (TW),SF,6-7,215,"January 14, 2002",R,Saint Joseph's,United States
Dallas Mavericks,35.0,Christian Wood,PF,6-10,214,"September 27, 1995",6,UNLV,United States
Dallas Mavericks,26.0,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",8,Colorado,United States
Dallas Mavericks,25.0,Reggie Bullock,SF,6-6,205,"March 16, 1991",9,UNC,United States
Dallas Mavericks,11.0,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",9,Michigan,United States
Dallas Mavericks,10.0,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",6,Florida,United States
Dallas Mavericks,0.0,JaVale McGee,C,7-0,270,"January 19, 1988",14,Nevada,United States
Dallas Mavericks,,Theo Pinson,SG,6-5,212,"November 5, 1995",4,UNC,United States
Dallas Mavericks,,Jaden Hardy,SG,6-4,198,"July 5, 2002",R,,United States
Dallas Mavericks,,Tyler Dorsey (TW),SG,6-5,183,"February 18, 1996",2,Oregon,United States
Dallas Mavericks,,McKinley Wright IV (TW),PG,6-0,196,"October 25, 1998",1,Colorado,United States
Boston Celtics,42.0,Al Horford,C,6-9,240,"June 3, 1986",15,Florida,Dominican Republic
Boston Celtics,,Danilo Gallinari,SF,6-10,233,"August 8, 1988",13,,Italy
Utah Jazz,16.0,Simone Fontecchio,SF,6-8,209,"December 9, 1995",R,,Italy
Los Angeles Clippers,,Reggie Jackson,PG,6-2,208,"April 16, 1990",11,Boston College,Italy
Boston Celtics,,Mfiondu Kabengele (TW),PF,6-9,250,"August 14, 1997",2,Florida State,Canada
Toronto Raptors,45.0,Dalano Banton,PG,6-9,204,"November 7, 1999",1,Nebraska,Canada
Toronto Raptors,,Khem Birch,C,6-9,233,"September 28, 1992",5,"Pitt, UNLV",Canada
New York Knicks,9.0,RJ Barrett,SG,6-6,214,"June 14, 2000",3,Duke,Canada
Oklahoma City Thunder,2.0,Shai Gilgeous-Alexander,SG,6-6,180,"July 12, 1998",4,Kentucky,Canada
Oklahoma City Thunder,5.0,Luguentz Dort,SG,6-3,215,"April 19, 1999",3,Arizona State,Canada
Denver Nuggets,27.0,Jamal Murray,PG,6-3,215,"February 23, 1997",5,Kentucky,Canada
Portland Trail Blazers,17.0,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",R,Kentucky,Canada
Utah Jazz,41.0,Kelly Olynyk,C,6-11,240,"April 19, 1991",9,Gonzaga,Canada
Utah Jazz,6.0,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",3,Virginia Tech,Canada
Detroit Pistons,18.0,Cory Joseph,PG,6-3,200,"August 20, 1991",11,Texas,Canada
Indiana Pacers,0.0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",R,Arizona,Canada
Indiana Pacers,3.0,Chris Duarte,SF,6-6,190,"June 13, 1997",1,Oregon,Canada
Indiana Pacers,12.0,Oshae Brissett,SF,6-7,210,"June 20, 1998",3,Syracuse,Canada
Indiana Pacers,,Andrew Nembhard,SG,6-5,193,"January 16, 2000",R,"Florida, Gonzaga",Canada
Golden State Warriors,22.0,Andrew Wiggins,SF,6-7,197,"February 23, 1995",8,Kansas,Canada
Sacremento Kings,41.0,Trey Lyles,PF,6-9,234,"November 5, 1995",7,Kentucky,Canada
Orlando Magic,2.0,Caleb Houstan,SF,6-8,205,"January 9, 2003",R,Michigan,Canada
Memphis Grizzlies,15.0,Brandon Clarke,PF,6-8,215,"September 19, 1996",3,"San Jose State, Gonzaga",Canada
Memphis Grizzlies,,Dillon Brooks,SG,6-7,225,"January 22, 1996",5,Oregon,Canada
San Antonio Spurs,11.0,Joshua Primo,SG,6-6,190,"December 24, 2002",1,Alabama,Canada
Dallas Mavericks,,Dwight Powell,C,6-10,240,"July 20, 1991",8,Stanford,Canada
Brooklyn Nets,8.0,Patty Mills,PG,6-1,180,"August 11, 1988",13,Saint Mary's,Australia
Brooklyn Nets,11.0,Kyrie Irving,PG,6-2,195,"March 23, 1992",11,Duke,Australia
Brooklyn Nets,10.0,Ben Simmons,PG,6-10,240,"July 20, 1996",4,LSU,Australia
Oklahoma City Thunder,3.0,Josh Giddey,SG,6-8,210,"October 10, 2002",1,,Australia
Denver Nuggets,,Jack White (TW),SF,6-7,225,"August 5, 1997",R,Duke,Australia
Milwaukee Bucks,,Joe Ingles,SF,6-8,220,"October 2, 1987",8,,Australia
Phoenix Suns,11.0,Jock Landale,C,6-11,256,"October 25, 1995",1,Saint Mary's,Australia
Sacremento Kings,,Chima Moneke,SF,6-6,222,"December 24, 1995",R,"Northeast Community College, UC-Davis",Australia
Sacremento Kings,,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",8,Saint Mary's,Australia
New Orleans Pelicans,11.0,Dyson Daniels,PG,6-8,199,"March 17, 2003",R,,Australia
Dallas Mavericks,8.0,Josh Green,SG,6-5,200,"November 16, 2000",2,Arizona,Australia
Brooklyn Nets,24.0,Cam Thomas,SG,6-4,210,"October 13, 2001",1,LSU,Japan
Brooklyn Nets,18.0,Yuta Watanabe,SF,6-9,215,"October 13, 1994",4,George Washington,Japan
Washington Wizards,8.0,Rui Hachimura,PF,6-8,230,"February 8, 1998",3,Gonzaga,Japan
Toronto Raptors,43.0,Pascal Siakam,PF,6-9,230,"April 2, 1994",6,New Mexico State,Cameroon
Toronto Raptors,35.0,Christian Koloko,C,7-1,230,"June 20, 2000",R,Arizona,Cameroon
Philadelphia 76ers,21.0,Joel Embiid,C,7-0,280,"March 16, 1994",6,Kansas,Cameroon
Toronto Raptors,3.0,OG Anunoby,SF,6-7,232,"July 17, 1997",5,Indiana,Great Britain
Orlando Magic,,Admiral Schofield (TW),PF,6-5,241,"March 30, 1997",2,Tennessee,Great Britain
Miami Heat,,Nikola Jović,PF,6-10,209,"June 9, 2003",R,,Great Britain
Toronto Raptors,5.0,Precious Achiuwa,PF,6-8,225,"September 19, 1999",2,Memphis,Nigeria
Oklahoma City Thunder,97.0,Eugene Omoruyi (TW),SF,6-7,244,"February 14, 1997",1,"Rutgers University, Oregon",Nigeria
Utah Jazz,,Udoka Azubuike,C,6-10,280,"September 17, 1999",2,Kansas,Nigeria
Phoenix Suns,2.0,Josh Okogie,SG,6-4,213,"September 1, 1998",4,Georgia Tech,Nigeria
Toronto Raptors,41.0,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",6,,Spain
Cleveland Cavaliers,,Ricky Rubio,PG,6-2,190,"October 21, 1990",11,,Spain
Memphis Grizzlies,7.0,Santi Aldama,PF,6-11,224,"January 10, 2001",1,Loyola (MD),Spain
New Orleans Pelicans,,Willy Hernangómez,C,6-11,250,"May 27, 1994",6,,Spain
Houston Rockets,,Usman Garuba,PF,6-8,220,"March 9, 2002",1,,Spain
Toronto Raptors,,Chris Boucher,PF,6-9,200,"January 11, 1993",5,Oregon,St. Lucia
Philadelphia 76ers,,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",5,,Turkey
Miami Heat,,Omer Yurtseven,C,7-0,264,"June 19, 1998",1,"NC State, Georgetown",Turkey
Houston Rockets,28.0,Alperen Şengün,C,6-9,235,"July 25, 2002",1,,Turkey
New York Knicks,13.0,Evan Fournier,SG,6-7,205,"October 29, 1992",10,,France
Minnesota Timberwolves,27.0,Rudy Gobert,C,7-1,258,"June 26, 1992",9,,France
Oklahoma City Thunder,13.0,Ousmane Dieng,SF,6-10,216,"May 21, 2003",R,,France
Portland Trail Blazers,,Olivier Sarr (TW),C,7-0,237,"February 20, 1999",1,"Wake Forest, Kentucky",France
Los Angeles Clippers,,Nicolas Batum,SF,6-8,230,"December 14, 1988",14,,France
Los Angeles Clippers,,Moussa Diabaté (TW),PF,6-11,210,"January 21, 2002",R,Michigan,France
Charlotte Hornets,9.0,Théo Maledon (TW),PG,6-4,175,"June 12, 2001",2,,France
New York Knicks,,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",4,Kansas,Ukraine
Sacremento Kings,,Alex Len,C,7-0,250,"June 16, 1993",9,Maryland,Ukraine
Oklahoma City Thunder,17.0,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",2,,Russia
Denver Nuggets,15.0,Nikola Jokić,C,6-11,284,"February 19, 1995",7,,Russia
Atlanta Hawks,,Bogdan Bogdanović,SG,6-6,220,"August 18, 1992",5,,Russia
Houston Rockets,,Boban Marjanović,C,7-3,290,"August 15, 1988",7,,Russia
Denver Nuggets,31.0,Vlatko Čančar,PF,6-8,236,"April 10, 1997",3,,Slovenia
Chicago Bulls,7.0,Goran Dragić,PG,6-3,190,"May 6, 1986",14,,Slovenia
Dallas Mavericks,77.0,Luka Dončić,PG,6-7,230,"February 28, 1999",4,,Slovenia
Portland Trail Blazers,27.0,Jusuf Nurkić,C,6-11,290,"August 23, 1994",8,,Bosnia and Herzegovina
Detroit Pistons,44.0,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",8,,Bosnia and Herzegovina
Los Angeles Clippers,,Ivica Zubac,C,7-0,240,"March 18, 1997",6,,Bosnia and Herzegovina
Utah Jazz,23.0,Lauri Markkanen,PF,7-0,240,"May 22, 1997",5,Arizona,Finland
Utah Jazz,10.0,Leandro Bolmaro,SG,6-6,200,"September 11, 2000",1,,Argentina
Dallas Mavericks,,Facundo Campazzo,PG,5-10,195,"March 23, 1991",2,,Argentina
Chicago Bulls,9.0,Nikola Vučević,C,6-10,260,"October 24, 1990",11,USC,Switzerland
Atlanta Hawks,15.0,Clint Capela,C,6-10,240,"May 18, 1994",8,,Switzerland
Chicago Bulls,,Marko Simonovic,C,6-11,216,"October 15, 1999",1,,Montenegro
Chicago Bulls,,Kostas Antetokounmpo (TW),PF,6-10,200,"November 20, 1997",3,Dayton,Greece
Milwaukee Bucks,,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",9,,Greece
Milwaukee Bucks,,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",4,,Greece
Cleveland Cavaliers,16.0,Cedi Osman,SF,6-7,230,"April 8, 1995",5,,North Macedonia
Cleveland Cavaliers,19.0,Raul Neto,PG,6-1,180,"May 19, 1992",7,,Brazil
Cleveland Cavaliers,,Mamadi Diakite (TW),PF,6-9,228,"January 21, 1997",2,Virginia,Guinea
Indiana Pacers,24.0,Buddy Hield,SG,6-4,220,"December 17, 1992",6,Oklahoma,Bahamas
Phoenix Suns,22.0,Deandre Ayton,C,6-11,250,"July 23, 1998",4,Arizona,Bahamas
Charlotte Hornets,23.0,Kai Jones,C,6-11,218,"January 19, 2001",1,Texas,Bahamas
Indiana Pacers,88.0,Goga Bitadze,C,6-11,250,"July 20, 1999",3,,Georgia
Indiana Pacers,,Daniel Theis,C,6-8,245,"April 4, 1992",5,,Germany
Los Angeles Lakers,,Dennis Schröder,PG,6-3,172,"September 15, 1993",9,,Germany
Phoenix Suns,,Duane Washington Jr. (TW),SG,6-3,210,"March 24, 2000",1,Ohio State,Germany
Orlando Magic,22.0,Franz Wagner,SF,6-9,225,"August 27, 2001",1,Michigan,Germany
Orlando Magic,,Moritz Wagner,C,6-11,245,"April 26, 1997",4,Michigan,Germany
Dallas Mavericks,42.0,Maxi Kleber,PF,6-10,240,"January 29, 1992",5,,Germany
Milwaukee Bucks,,Serge Ibaka,PF,6-10,235,"September 18, 1989",13,,Congo
Los Angeles Lakers,35.0,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",3,Kentucky,Sudan
Orlando Magic,10.0,Bol Bol,PF,7-2,220,"November 16, 1999",3,Oregon,Sudan
Golden State Warriors,0.0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",1,,The Democratic Republic of Congo
Phoenix Suns,18.0,Bismack Biyombo,C,6-8,255,"August 28, 1992",11,,The Democratic Republic of Congo
Phoenix Suns,20.0,Dario Šarić,PF,6-10,225,"April 8, 1994",5,,Crotia
Sacremento Kings,,Neemias Queta (TW),C,7-0,245,"July 13, 1999",1,Utah State University,Portugal
Washington Wizards,6.0,Kristaps Porziņģis,PF,7-3,240,"August 2, 1995",6,,Latvia
Dallas Mavericks,,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",6,,Latvia
Washington Wizards,9.0,Deni Avdija,SF,6-9,210,"January 3, 2001",2,,Israel
Atlanta Hawks,,Vit Krejci,PG,6-8,195,"June 19, 2000",1,,Czechia
Charlotte Hornets,4.0,Nick Richards,C,7-0,245,"November 29, 1997",2,Kentucky,Jamaica
Memphis Grizzlies,4.0,Steven Adams,C,6-11,265,"July 20, 1993",9,Pitt,New Zealnd
New Orleans Pelicans,17.0,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",10,,Lithuania
Houston Rockets,20.0,Bruno Fernando,C,6-9,240,"August 15, 1998",3,Maryland,Angola
San Antonio Spurs,25.0,Jakob Poeltl,C,7-1,245,"October 15, 1995",6,Utah,Austria
San Antonio Spurs,41.0,Gorgui Dieng,C,6-10,252,"January 18, 1990",9,Louisville,Senegal
Dallas Mavericks,,Frank Ntilikina,PG,6-4,200,"July 28, 1998",5,,Belgium
